Row,C0,C1,C2,C3,C4,C5
0,0,0,0,9999360,155,1
1,1,0,32,64512,155,3
2,2,0,33,3072,155,7
3,2,1,49,1152,155,6
4,3,0,34,768,155,10
5,3,1,40,9216,155,5
6,3,2,47,2304,155,7
7,3,3,49,128,155,20
8,3,4,56,128,155,15
9,3,5,66,48,155,19
10,3,6,65,576,155,7
11,3,7,66,48,155,14
12,4,0,35,3072,155,7
13,4,1,36,384,155,10
14,4,2,40,768,155,10
15,4,3,47,64,155,24
16,4,4,49,64,155,26
17,4,5,51,16,155,38
18,4,6,57,16,155,34
19,4,7,70,192,155,14
20,4,8,95,48,155,20
21,4,9,47,2304,155,7
22,4,10,49,128,155,20
23,4,11,66,144,155,12
24,4,12,48,9216,155,5
25,4,13,49,64,155,26
26,4,14,66,36,155,19
27,4,15,70,192,155,14
28,4,16,50,512,155,11
29,4,17,51,32,155,29
30,4,18,56,32,155,30
31,4,19,57,4,155,65
32,4,20,59,32,155,30
33,4,21,66,4,155,65
34,4,22,70,128,155,15
35,4,23,71,128,155,19
36,4,24,87,8,155,48
37,4,25,94,8,155,48
38,4,26,100,32,155,23
39,4,27,62,192,155,11
40,4,28,63,128,155,15
41,4,29,66,4,155,59
42,4,30,90,8,155,38
43,4,31,92,48,155,14
44,4,32,67,32,155,23
45,4,33,83,16,155,29
46,4,34,87,4,155,53
47,4,35,98,8,155,39
48,4,36,78,1152,155,6
49,4,37,81,12,155,28
50,4,38,83,24,155,16
51,4,39,87,6,155,37
52,5,0,36,384,155,12
53,5,1,40,1024,155,10
54,5,2,47,128,155,20
55,5,3,51,64,155,24
56,5,4,57,48,155,20
57,5,5,70,768,155,10
58,5,6,40,192,155,14
59,5,7,43,1920,155,5
60,5,8,47,16,155,34
61,5,9,49,8,155,51
62,5,10,53,16,155,34
63,5,11,58,24,155,28
64,5,12,70,24,155,26
65,5,13,72,32,155,23
66,5,14,47,192,155,14
67,5,15,49,64,155,26
68,5,16,51,16,155,38
69,5,17,56,64,155,24
70,5,18,66,16,155,34
71,5,19,87,48,155,20
72,5,20,48,128,155,20
73,5,21,49,32,155,34
74,5,22,51,8,155,48
75,5,23,55,64,155,26
76,5,24,56,16,155,50
77,5,25,57,4,155,65
78,5,26,59,32,155,30
79,5,27,62,64,155,24
80,5,28,65,32,155,30
81,5,29,66,2,155,99
82,5,30,70,32,155,30
83,5,31,71,32,155,34
84,5,32,85,32,155,34
85,5,33,87,4,155,65
86,5,34,90,8,155,38
87,5,35,95,4,155,65
88,5,36,100,8,155,45
89,5,37,50,128,155,20
90,5,38,51,8,155,51
91,5,39,56,32,155,34
92,5,40,57,2,155,99
93,5,41,65,32,155,30
94,5,42,66,2,155,99
95,5,43,70,32,155,34
96,5,44,71,32,155,34
97,5,45,85,128,155,19
98,5,46,87,8,155,48
99,5,47,94,8,155,48
100,5,48,95,8,155,48
101,5,49,99,8,155,48
102,5,50,100,8,155,51
103,5,51,159,128,155,19
104,5,52,52,32,155,33
105,5,53,53,16,155,34
106,5,54,57,2,155,99
107,5,55,58,1,155,2
108,5,56,61,2,155,99
109,5,57,66,4,155,65
110,5,58,67,4,155,59
111,5,59,70,8,155,45
112,5,60,71,8,155,48
113,5,61,72,2,155,87
114,5,62,75,16,155,38
115,5,63,76,16,155,34
116,5,64,87,2,155,99
117,5,65,88,4,155,71
118,5,66,95,2,155,99
119,5,67,100,16,155,28
120,5,68,115,16,155,39
121,5,69,118,4,155,71
122,5,70,120,4,155,71
123,5,71,125,4,155,71
124,5,72,130,16,155,29
125,5,73,145,16,155,28
126,5,74,60,32,155,23
127,5,75,70,4,155,65
128,5,76,87,4,155,65
129,5,77,90,2,155,87
130,5,78,92,8,155,39
131,5,79,95,2,155,87
132,5,80,97,4,155,59
133,5,81,107,16,155,39
134,5,82,110,4,155,71
135,5,83,112,32,155,29
136,5,84,122,16,155,29
137,5,85,125,4,155,71
138,5,86,71,128,155,20
139,5,87,95,12,155,34
140,5,88,99,48,155,22
141,5,89,110,16,155,38
142,5,90,113,16,155,29
143,5,91,179,96,155,17
144,5,92,48,3072,155,7
145,5,93,56,64,155,24
146,5,94,66,36,155,19
147,5,95,50,512,155,11
148,5,96,56,32,155,34
149,5,97,57,8,155,38
150,5,98,59,32,155,30
151,5,99,66,4,155,65
152,5,100,70,128,155,15
153,5,101,85,128,155,19
154,5,102,87,8,155,48
155,5,103,94,8,155,48
156,5,104,100,32,155,23
157,5,105,67,16,155,38
158,5,106,68,96,155,17
159,5,107,83,16,155,29
160,5,108,87,12,155,25
161,5,109,66,144,155,12
162,5,110,70,768,155,10
163,5,111,56,32,155,34
164,5,112,57,8,155,38
165,5,113,59,32,155,30
166,5,114,66,4,155,65
167,5,115,70,32,155,34
168,5,116,81,4,155,65
169,5,117,85,32,155,34
170,5,118,87,4,155,65
171,5,119,94,4,155,65
172,5,120,100,8,155,48
173,5,121,67,24,155,26
174,5,122,68,8,155,48
175,5,123,69,8,155,51
176,5,124,70,12,155,34
177,5,125,83,4,155,59
178,5,126,85,4,155,65
179,5,127,88,4,155,53
180,5,128,99,12,155,25
181,5,129,85,128,155,20
182,5,130,100,48,155,19
183,5,131,56,32,155,30
184,5,132,57,8,155,48
185,5,133,66,16,155,31
186,5,134,70,256,155,14
187,5,135,100,64,155,21
188,5,136,56,2,155,99
189,5,137,58,4,155,71
190,5,138,59,2,155,99
191,5,139,60,4,155,71
192,5,140,66,2,155,99
193,5,141,67,2,155,99
194,5,142,70,8,155,48
195,5,143,72,4,155,65
196,5,144,73,4,155,59
197,5,145,85,8,155,51
198,5,146,88,4,155,71
199,5,147,120,8,155,48
200,5,148,130,16,155,38
201,5,149,145,16,155,34
202,5,150,62,32,155,30
203,5,151,65,16,155,50
204,5,152,66,2,155,99
205,5,153,70,32,155,30
206,5,154,79,160,155,10
207,5,155,81,4,155,59
208,5,156,86,32,155,30
209,5,157,87,2,155,99
210,5,158,90,2,155,99
211,5,159,92,2,155,99
212,5,160,95,4,155,59
213,5,161,62,4,155,59
214,5,162,65,2,155,99
215,5,163,66,1,155,0
216,5,164,67,1,155,2
217,5,165,68,1,155,2
218,5,166,69,2,155,87
219,5,167,70,4,155,59
220,5,168,74,8,155,48
221,5,169,78,2,155,99
222,5,170,81,1,155,0
223,5,171,82,2,155,87
224,5,172,83,1,155,2
225,5,173,84,1,155,3
226,5,174,85,4,155,65
227,5,175,87,1,155,0
228,5,176,90,2,155,87
229,5,177,91,4,155,65
230,5,178,92,4,155,59
231,5,179,93,8,155,48
232,5,180,94,1,155,3
233,5,181,95,1,155,1
234,5,182,100,2,155,99
235,5,183,109,2,155,87
236,5,184,118,1,155,0
237,5,185,120,1,155,2
238,5,186,122,2,155,87
239,5,187,123,4,155,53
240,5,188,130,2,155,87
241,5,189,138,4,155,53
242,5,190,139,1,155,1
243,5,191,70,64,155,20
244,5,192,71,32,155,34
245,5,193,78,128,155,15
246,5,194,81,4,155,59
247,5,195,86,64,155,24
248,5,196,95,2,155,99
249,5,197,99,4,155,59
250,5,198,153,96,155,15
251,5,199,67,8,155,48
252,5,200,69,8,155,51
253,5,201,70,4,155,65
254,5,202,72,4,155,71
255,5,203,73,4,155,71
256,5,204,74,4,155,65
257,5,205,81,4,155,65
258,5,206,83,4,155,59
259,5,207,87,1,155,2
260,5,208,88,1,155,0
261,5,209,98,1,155,0
262,5,210,99,1,155,1
263,5,211,100,2,155,87
264,5,212,101,4,155,53
265,5,213,103,2,155,87
266,5,214,104,2,155,87
267,5,215,109,1,155,2
268,5,216,113,1,155,2
269,5,217,115,2,155,99
270,5,218,116,4,155,59
271,5,219,131,4,155,53
272,5,220,145,2,155,99
273,5,221,146,8,155,42
274,5,222,149,4,155,59
275,5,223,180,4,155,65
276,5,224,100,16,155,34
277,5,225,88,4,155,71
278,5,226,98,32,155,23
279,5,227,100,8,155,42
280,5,228,110,8,155,45
281,5,229,118,2,155,87
282,5,230,121,32,155,23
283,5,231,124,2,155,87
284,5,232,125,4,155,53
285,5,233,147,4,155,71
286,5,234,100,8,155,42
287,5,235,113,8,155,45
288,5,236,118,4,155,53
289,5,237,63,192,155,11
290,5,238,66,4,155,59
291,5,239,66,4,155,59
292,5,240,87,16,155,28
293,5,241,67,8,155,42
294,5,242,87,2,155,87
295,5,243,90,1,155,2
296,5,244,91,2,155,87
297,5,245,93,2,155,87
298,5,246,98,4,155,53
299,5,247,104,2,155,87
300,5,248,107,6,155,37
301,5,249,109,2,155,87
302,5,250,111,2,155,87
303,5,251,122,2,155,87
304,5,252,134,2,155,87
305,5,253,137,6,155,37
306,5,254,116,10,155,25
307,5,255,88,2,155,87
308,5,256,101,8,155,36
309,5,257,104,8,155,39
310,5,258,87,2,155,87
311,5,259,101,1,155,1
312,5,260,116,24,155,20
313,5,261,101,2,155,87
314,5,262,104,2,155,87
315,5,263,118,2,155,87
316,5,264,124,2,155,87
317,5,265,127,6,155,38
318,5,266,124,12,155,28
319,5,267,100,48,155,14
320,5,268,180,5760,155,3
321,5,269,88,2,155,87
322,5,270,100,8,155,32
323,5,271,104,2,155,87
324,5,272,87,12,155,25
325,5,273,95,3,155,55
326,5,274,181,8,155,32
327,5,275,182,120,155,7
328,5,276,97,5,155,31
329,6,0,37,768,155,10
330,6,1,40,128,155,19
331,6,2,42,192,155,14
332,6,3,47,16,155,38
333,6,4,51,32,155,30
334,6,5,53,32,155,28
335,6,6,57,8,155,49
336,6,7,61,24,155,28
337,6,8,70,96,155,17
338,6,9,72,16,155,38
339,6,10,41,3072,155,7
340,6,11,47,128,155,20
341,6,12,51,64,155,24
342,6,13,56,64,155,24
343,6,14,57,16,155,34
344,6,15,66,32,155,29
345,6,16,70,256,155,16
346,6,17,48,256,155,17
347,6,18,49,128,155,19
348,6,19,51,16,155,41
349,6,20,55,128,155,19
350,6,21,56,32,155,30
351,6,22,57,8,155,48
352,6,23,62,32,155,34
353,6,24,66,4,155,65
354,6,25,70,64,155,24
355,6,26,71,64,155,26
356,6,27,85,128,155,15
357,6,28,87,4,155,65
358,6,29,90,8,155,48
359,6,30,100,16,155,38
360,6,31,52,128,155,21
361,6,32,53,64,155,24
362,6,33,57,4,155,71
363,6,34,58,2,155,99
364,6,35,61,4,155,71
365,6,36,66,16,155,39
366,6,37,67,16,155,35
367,6,38,70,32,155,29
368,6,39,71,32,155,31
369,6,40,72,8,155,38
370,6,41,75,32,155,29
371,6,42,100,32,155,23
372,6,43,115,64,155,22
373,6,44,145,64,155,18
374,6,45,58,16,155,38
375,6,46,70,12,155,34
376,6,47,87,8,155,51
377,6,48,90,4,155,53
378,6,49,92,16,155,29
379,6,50,97,8,155,45
380,6,51,107,48,155,22
381,6,52,112,96,155,17
382,6,53,71,512,155,13
